SpecFile	LocalSpecIdx	Scan	LocalPeptideIdx	Name	Score	P-Value	PeptideMass	SpectrumMass	Retention	Adduct	Charge
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	7271	7271	7271	FPMIEPCWEZBKGP	146.39	3.4e-24	1280.82	1281.83	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	11101	11101	11101	AFOLBAYDTRBYBA	145.956	7.6e-25	1294.84	1295.84	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	5111	5111	5111	KEDXZGDCZHBADT	143.379	4.1e-26	1091.73	1092.74	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	5199	5199	5199	STDTUHSFISWYFO	140.804	1.8e-26	1266.81	1267.81	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	5253	5253	5253	AQBJITSSPIIUAM	139.767	5.4e-28	1195.72	1196.73	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	3784	3784	3784	IEWHPTFFMRBBPQ	127.863	4.3e-26	897.605	898.62	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	185	185	185	PMATZTZNYRCHOR	126.379	4.4e-32	1201.84	1202.85	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	3888	3888	3888	RQPSYKVOXUXJAS	126.377	6.2e-29	1389.92	1390.94	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	6671	6671	6671	POJKUXRIPCIWMZ	123.979	6.5e-32	897.605	898.63	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	717	717	717	SYXYUKMELXLDBD	121.852	4.2e-28	1187.83	1188.83	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	712	712	2277	CBNRHESAARZEOI	111.223	3.8e-31	897.605	898.63	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	8304	8304	8304	ZSNYYEIGOZADKA	109.398	8.7e-33	1187.83	1188.84	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	2277	2277	2277	CBNRHESAARZEOI	108.962	1.2e-29	897.605	898.63	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	2287	2287	2287	GVLISDGZEVBRHD	106.548	2.0e-26	1034.53	1035.54	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	11166	11166	11166	XERUKUVYCHYPHQ	101.271	4.5e-27	1021.67	1022.68	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	2250	2250	2250	HPIOIUSFXDCSLD	99.341	1.5e-32	1232.74	1233.75	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	2762	2762	2762	OESVNVWXOTVKHT	97.099	8.2e-28	1558.88	1559.88	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	3190	3190	11122	NCCHYDXMXHIKMK	96.122	1.7e-24	740.411	741.418	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	7617	7617	7617	FOFMDMVEJPEQQX	95.543	9.1e-17	1308.85	1309.86	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	3987	3987	3987	YXKOCURCFHLHSM	92.776	2.3e-29	794.469	795.478	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	11239	11239	5628	OXBVVUPTVONEJO	92.228	1.9e-22	1153.72	1154.72	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	7001	7001	7001	LSJHBSMFQYTUER	91.635	5.0e-29	1572.89	1573.9	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	6712	6712	6712	HOQHZAISJNVLMZ	91.143	2.3e-23	903.522	904.529	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	4602	4602	4602	DGSRQKSHTABVKQ	90.955	1.5e-20	807.547	808.549	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	5274	5274	5274	IJMDOTXFQGFKQU	89.321	9.1e-19	1034.7	1035.71	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	5198	5198	5198	LVGMCXZPNJMSFE	89.174	6.9e-22	837.406	838.409	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	8000	8000	8000	HNBSHUIEQOIPFQ	88.376	1.1e-17	1063.71	1064.72	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	10835	10835	10835	GCYCNNNVEBIXIM	86.157	2.6e-25	798.406	799.422	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	1702	1702	1702	LIXXXEJZGBROMS	85.534	5.4e-19	1077.73	1078.74	-1	M+H	1
